Classes,Population,P: Condition positive,N: Condition negative,Test outcome positive,Test outcome negative,TP: True Positive,TN: True Negative,FP: False Positive,FN: False Negative,"TPR: (Sensitivity, hit rate, recall)",TNR=SPC: (Specificity),PPV: Pos Pred Value (Precision),NPV: Neg Pred Value,FPR: False-out,FDR: False Discovery Rate,FNR: Miss Rate,ACC: Accuracy,F1 score,MCC: Matthews correlation coefficient,Informedness,Markedness,Prevalence,LR+: Positive likelihood ratio,LR-: Negative likelihood ratio,DOR: Diagnostic odds ratio,FOR: False omission rate
Hoopoe,1564,32,1532,30,1534,29,1531,1,3,0.90625,0.9993472584856397,0.9666666666666667,0.9980443285528031,0.0006527415143603133,0.03333333333333333,0.09375,0.9974424552429667,0.9354838709677419,0.934686916834565,0.9055972584856398,0.9647109952194697,0.020460358056265986,1388.375,0.09381123448726322,14799.666666666668,0.001955671447196871
House_Crow,1564,67,1497,64,1500,59,1492,5,8,0.8805970149253731,0.9966599866399466,0.921875,0.9946666666666667,0.0033400133600534404,0.078125,0.11940298507462686,0.9916879795396419,0.9007633587786259,0.8966842221817448,0.8772570015653196,0.9165416666666668,0.04283887468030691,263.6507462686567,0.11980312912648552,2200.7,0.005333333333333333
Indian_hornbill,1564,39,1525,35,1529,33,1523,2,6,0.8461538461538461,0.9986885245901639,0.9428571428571428,0.9960758665794637,0.0013114754098360656,0.05714285714285714,0.15384615384615385,0.9948849104859335,0.8918918918918919,0.8906460518422741,0.84484237074401,0.9389330094366066,0.024936061381074168,645.1923076923077,0.1540481842517299,4188.25,0.003924133420536298
Indian_robin,1564,30,1534,30,1534,27,1531,3,3,0.9,0.9980443285528031,0.9,0.9980443285528031,0.001955671447196871,0.1,0.1,0.9961636828644501,0.9,0.8980443285528031,0.8980443285528033,0.8980443285528033,0.01918158567774936,460.2,0.10019595035924234,4592.999999999999,0.001955671447196871
Jungle_Crow,1564,31,1533,24,1540,20,1529,4,11,0.6451612903225806,0.9973907371167645,0.8333333333333334,0.9928571428571429,0.002609262883235486,0.16666666666666666,0.3548387096774194,0.9904092071611253,0.7272727272727273,0.7286085132135559,0.6425520274393453,0.8261904761904764,0.019820971867007674,247.25806451612902,0.3557669993037828,694.9999999999999,0.007142857142857143
Jungle_babbler,1564,55,1509,54,1510,49,1504,5,6,0.8909090909090909,0.9966865473823724,0.9074074074074074,0.9960264900662251,0.0033134526176275677,0.09259259259259259,0.10909090909090909,0.9929667519181585,0.8990825688073395,0.8954797523575021,0.8875956382914634,0.9034338974736325,0.03516624040920716,268.87636363636364,0.10945357833655706,2456.5333333333333,0.003973509933774834
Koel,1564,60,1504,51,1513,50,1503,1,10,0.8333333333333334,0.9993351063829787,0.9803921568627451,0.9933906146728354,0.0006648936170212766,0.0196078431372549,0.16666666666666666,0.9929667519181585,0.9009009009009009,0.9004655357075904,0.8326684397163122,0.9737827715355805,0.03836317135549872,1253.3333333333335,0.16677755599911287,7515.000000000002,0.006609385327164574
Little_green_beeeater,1564,37,1527,39,1525,33,1521,6,4,0.8918918918918919,0.9960707269155207,0.8461538461538461,0.9973770491803279,0.003929273084479371,0.15384615384615385,0.10810810810810811,0.9936061381074168,0.868421052631579,0.8654616703620643,0.8879626188074126,0.843530895334174,0.023657289002557546,226.9864864864865,0.1085345700730316,2091.3750000000005,0.002622950819672131
Magpie_robin,1564,35,1529,34,1530,31,1526,3,4,0.8857142857142857,0.9980379332897319,0.9117647058823529,0.9973856209150327,0.001962066710268149,0.08823529411764706,0.11428571428571428,0.9955242966751918,0.8985507246376812,0.8963613215190721,0.8837522190040175,0.9091503267973855,0.02237851662404092,451.4190476190476,0.11451039131248829,3942.166666666667,0.00261437908496732
Owlet,1564,33,1531,31,1533,28,1528,3,5,0.8484848484848485,0.9980404964075767,0.9032258064516129,0.9967384213959556,0.001959503592423253,0.0967741935483871,0.15151515151515152,0.9948849104859335,0.875,0.8728359114802209,0.8465253448924253,0.8999642278475686,0.021099744245524295,433.010101010101,0.15181262890686975,2852.2666666666664,0.0032615786040443573
Parakeet,1564,56,1508,61,1503,53,1500,8,3,0.9464285714285714,0.9946949602122016,0.8688524590163934,0.998003992015968,0.005305039787798408,0.13114754098360656,0.05357142857142857,0.9929667519181585,0.905982905982906,0.9032269950688824,0.9411235316407729,0.8668564510323615,0.03580562659846547,178.40178571428572,0.05385714285714285,3312.5000000000005,0.001996007984031936
